Study,Technology
Asakura2020,Microarray
Bianchi2011,Microarray
Boeri2011,Microarray
Chen2019,Sequencing
Duan2021,Microarray
Fehlmann2020,Microarray
Halvorsen2016,Microarray
Jin2017,qRT-PCR
Keller2009,Microarray
Keller2014,Microarray
Keller2020,Microarray
Kryczka2021,qRT-PCR
Leidinger2011,Microarray
Leidinger2014,Microarray
Leidinger2016,qRT-PCR
Li2017,Microarray
Marzi2016,qRT-PCR
Nigita2018,Sequencing
Patnaik2012,Microarray
Patnaik2017,Microarray
Qu2017,Microarray
Reis2020,Microarray
Wozniak2015,qRT-PCR
Yao2019,Sequencing
Zaporozhchenko2018,qRT-PCR
