,data internal,seq internal,from seq,to seq
Wozniak2015,0.5965,0.7190599093888567,0.5137,0.55390625
Bianchi2011,0.7791208791208792,0.7155620822890559,0.5409610983981693,0.4966145833333333
Zaporozhchenko2018,0.8083333333333333,0.40058282726045885,0.33529411764705885,0.5549479166666667
Leidinger2016,0.9502116402116403,0.6989443159180002,0.2873090481786134,0.50625
Reis2020,0.9428571428571428,0.7146255060728746,0.6612244897959183,0.5528645833333333
Asakura2020,0.9261257560966152,0.7356325509286036,0.5362745943118635,0.5627604166666667
Duan2021,0.65,0.5502507470599576,0.75,0.5600260416666667
Leidinger2014,0.46825396825396826,0.7356325509286036,0.5206766917293233,0.46640625
Keller2009,0.9416666666666667,0.7353372614227878,0.3498452012383901,0.5091145833333334
Patnaik2017,0.5488779956427015,0.7356325509286036,0.36635457565690127,0.29192708333333334
Patnaik2012,0.6841269841269841,0.717757575027312,0.5227272727272727,0.5127604166666666
Fehlmann2020,0.9737452510752649,0.7425888639868903,0.4096106706106295,0.5046875
Marzi2016,0.8919272074311957,0.6095093703810809,0.24958714430894308,0.44010416666666663
Halvorsen2016,0.9666666666666668,0.6981688998136366,0.46052631578947373,0.5244791666666666
Boeri2011,0.5,0.6488650713321765,0.08771929824561403,0.5416666666666666
Leidinger2011,0.6044444444444446,0.7405069163292848,0.4793233082706767,0.41692708333333334
Qu2017,0.8541666666666666,0.6423671157059316,0.6111111111111112,0.6061197916666666
Li2017,0.5,0.7105921855921855,0.2222222222222222,0.525
Keller2014,0.8522027290448342,0.7081618308591993,0.3303701544739143,0.5434895833333334
Keller2020,0.5351307189542484,0.5545661429214062,0.6863636363636364,0.6627604166666667
Kryczka2021,0.6254761904761905,0.6843145323244009,0.32027649769585254,0.36549479166666665
Abdollahi2019,0.850925925925926,0.5160479925775979,0.3815575987020011,0.43294270833333337
Mean,0.7477618257725168,0.6688503090476773,0.4374106839762538,0.5059659090909091
