Study,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Asakura2020,0.8168360723219658,0.610052985444835,0.6252833689266988,0.5540488479359953,0.611230146583682,0.5505971124222604,0.5327356345294346,0.5651299949453903,0.5303748620537195,0.5744965620444548,0.5404339458675926,0.511504221361414,0.5393802180636036,0.5414108576769671
Boeri2011,0.5614035087719298,0.7192982456140351,0.6491228070175439,0.5789473684210527,0.7192982456140351,0.9122807017543859,0.5263157894736843,0.7894736842105263,0.631578947368421,0.5701754385964912,0.7192982456140351,0.5526315789473684,0.868421052631579,0.6842105263157895
Chen2019,0.5430555555555556,0.5861111111111111,0.5791666666666666,0.5361111111111111,0.5111111111111111,0.5833333333333333,0.5958333333333333,0.5763888888888888,0.6708333333333334,0.5819444444444444,0.5541666666666667,0.5069444444444444,0.5333333333333333,0.5569444444444445
Fehlmann2020,0.5950162962354326,0.6179542746805802,0.5321148816126426,0.5982395957438067,0.6446718842008683,0.5731704394505841,0.537712433069033,0.5192987141037755,0.6248322446352519,0.5751475562494008,0.6225863768949509,0.5143824548429947,0.5573432343234324,0.502846705832409
Halvorsen2016,0.6069078947368421,0.5666118421052632,0.537828947368421,0.7064144736842105,0.7672697368421053,0.7870065789473685,0.8577302631578947,0.7763157894736843,0.696546052631579,0.555921052631579,0.665296052631579,0.6924342105263158,0.825657894736842,0.8429276315789473
Jin2017,0.7724358974358974,0.5192307692307692,0.532051282051282,0.5961538461538463,0.673076923076923,0.6282051282051282,0.9102564102564102,0.7980769230769231,0.5256410256410257,0.9262820512820513,0.9775641025641025,0.6314102564102564,0.5673076923076923,0.8205128205128205
Keller2009,0.7027863777089782,0.8947368421052632,0.5139318885448917,0.8111455108359132,0.9473684210526315,0.5201238390092879,0.7244582043343654,0.5696594427244582,0.6222910216718266,0.7461300309597523,0.804953560371517,0.7089783281733746,0.5170278637770898,0.5356037151702786
Keller2014,0.6178956572427864,0.7480326435441562,0.5607694549693967,0.6106091518507724,0.7244243660740308,0.5460507140775284,0.5648498979889245,0.5610609151850772,0.7279218886621976,0.5196735645584377,0.593267269017779,0.729670649956281,0.5980763625765082,0.6103176916350918
Leidinger2011,0.5075187969924813,0.6616541353383458,0.5902255639097744,0.5,0.637218045112782,0.5056390977443609,0.7048872180451128,0.5808270676691729,0.6597744360902256,0.5601503759398496,0.505639097744361,0.5018796992481203,0.5921052631578947,0.5676691729323309
Leidinger2014,0.5733082706766917,0.5482456140350878,0.5269423558897243,0.5,0.5112781954887218,0.5288220551378446,0.5325814536340852,0.5770676691729324,0.5307017543859649,0.581453634085213,0.5263157894736843,0.5570175438596492,0.5275689223057645,0.5776942355889725
Leidinger2016,0.7276733254994124,0.7702702702702703,0.7082843713278495,0.7808460634547592,0.6812573443008226,0.5804935370152762,0.6601057579318449,0.6771445358401879,0.5070505287896592,0.5487661574618096,0.6442420681551116,0.5916568742655699,0.6260282021151586,0.6122209165687427
Nigita2018,0.6015037593984962,0.518796992481203,0.6090225563909775,0.631578947368421,0.5789473684210527,0.7819548872180451,0.6390977443609023,0.6390977443609023,0.5864661654135338,0.6992481203007519,0.6466165413533835,0.6917293233082706,0.6015037593984962,0.6992481203007519
Patnaik2012,0.7348484848484848,0.5782828282828283,0.6893939393939393,0.5808080808080808,0.6742424242424243,0.5934343434343434,0.5353535353535352,0.5176767676767677,0.6515151515151515,0.7828282828282829,0.5126262626262627,0.6767676767676767,0.76010101010101,0.8358585858585859
Patnaik2017,0.5084566596194503,0.5114768951978255,0.5114768951978255,0.5351857444880701,0.5730897009966777,0.5158562367864694,0.5312594382361825,0.5228027786167321,0.5169133192389006,0.5031712473572939,0.6356085774690425,0.6624886741165812,0.5058894593778315,0.5155542132286317
Reis2020,0.563265306122449,0.8326530612244898,0.7795918367346938,0.6204081632653061,0.6612244897959184,0.6693877551020408,0.8408163265306122,0.8489795918367347,0.6285714285714286,0.6204081632653061,0.8367346938775511,0.6,0.7877551020408163,0.6
Wozniak2015,0.5537000000000001,0.5728,0.5307,0.5834,0.6109,0.6454,0.5038,0.5630999999999999,0.529,0.5391,0.5018,0.5569999999999999,0.5367999999999999,0.5203
Yao2019,0.5599999999999999,0.88,0.64,1.0,0.6800000000000002,0.6799999999999999,0.8,0.52,0.72,0.56,0.92,0.52,0.84,0.6000000000000001
median,0.5950162962354326,0.610052985444835,0.5791666666666666,0.5961538461538463,0.6612244897959184,0.5833333333333333,0.5958333333333333,0.5763888888888888,0.6248322446352519,0.5744965620444548,0.6356085774690425,0.5916568742655699,0.5921052631578947,0.6
