Study,1,2,3,4,5,6,7,8,9,10
Asakura2020,0.10355797747595943,0.18900871198114996,0.48455232042250385,0.08697920855374629,0.14441417079810148,0.16226147729824447,0.218695308239315,0.11599230539330128,0.17594822009960928,0.18014529506437557
Boeri2011,0.1844916986048042,0.14784057192359246,0.21271729181399182,0.03936966035616708,0.5267498994488715,0.14139940346469507,0.471655809162575,0.056030335898188566,0.37917331319752656,0.21406462699668638
Chen2019,0.13542968170015196,0.1546583209677347,0.2558812360788599,0.1379512030046533,0.30606571075156247,0.06078497480412405,0.07783928394494641,0.039356326308948114,0.33109760575622826,0.39781674786874255
Fehlmann2020,0.1691550797271037,0.06796945048865075,0.322242731206833,0.05809759477707151,0.11821460846264631,0.2307631536094705,0.10646589170433994,0.312083003553954,0.19418841124199906,0.16748953532651487
Halvorsen2016,0.4346134796216504,0.37988650078032116,0.2187505874095066,0.19352006744106448,0.4389750262097343,0.17708063746363178,0.3714659910322927,0.1167512319254988,0.06566044650523518,0.18015097815511197
Jin2017,0.13429504365217276,0.07427973436341397,0.21510647782388345,0.17015770657690216,0.02522131217108844,0.3013530355295642,0.4262473442766199,0.3546132249718914,0.32874285590714125,0.42257005168333195
Keller2009,0.351305556223098,0.004837457082246741,0.10156263616869182,0.14465162323340827,0.3546009636287245,0.3041116007183145,0.35373758806662503,0.34736113112500666,0.5022915379377331,0.3986342465925723
Keller2014,0.36500466665660414,0.1380086966107182,0.09877312876535752,0.26527814690719526,0.2607318543227585,0.4087925140065999,0.11653126827614219,0.24384836941756788,0.263619982405995,0.38657336252720464
Leidinger2011,0.32306422311658634,0.12118436162373669,0.07499263621510148,0.17678980399539615,0.2786428566543633,0.21679336839504323,0.24315694241507138,0.41970123323871733,0.20148152563997357,0.48269772243303466
Leidinger2014,0.47985763307485685,0.27049225156599493,0.19902725542412564,0.3416809567886788,0.18206557850126517,0.2756496399906917,0.16187727094450116,0.14612068580977877,0.05126805760900111,0.06303111330098034
Leidinger2016,0.07067712662848326,0.0903868341360138,0.34993384148621154,0.19794069219830143,0.25840068680616896,0.04424888183927518,0.22806518486070482,0.33923057077652996,0.15683374461125482,0.04288092159163658
Nigita2018,0.2639345989180015,0.302871860750918,0.11128194453712065,0.17150797830287579,0.02457442429325779,0.20419475721979735,0.20368713875256914,0.050720819570944306,0.22889797942165166,0.08818523436488399
Patnaik2012,0.09990091931114566,0.20445183720981802,0.17486663364308838,0.08289100682798267,0.20584682776492505,0.21358731719721064,0.2110833425464376,0.02220160195872138,0.0261832111308508,0.27330850290583264
Patnaik2017,0.2644473005386398,0.4629313163477563,0.09010870148809716,0.20079506348395776,0.37193255860177,0.1616809655347609,0.019083921871121744,0.044443840279153504,0.23933328803601178,0.1996002858226242
Reis2020,0.2850983123891564,0.10011393785458945,0.3546530934651311,0.36088535823865897,0.42607084439912335,0.023710366603114843,0.08782654639170338,0.1774008393728831,0.2657789695898699,0.21508573045911056
Wozniak2015,0.06387254723885907,0.31384534866398267,0.24275251686676744,0.2273474890592687,0.33680468180292344,0.11548044131393995,0.07639132939542811,0.11529169573019502,0.24069243819046396,0.32114429274904904
Yao2019,0.2349703752409498,0.16520005155439,0.08665048131594764,0.18098856827807147,0.2656070374389184,0.24538645717176405,0.1253624419074196,0.27587582669852584,0.1438331762043058,0.10748360002754426
