miRNA log-fold-change,p-value log-fold-change,direction log-fold-change,miRNA t-value,p-value t-value,direction t-value
miR-663a,0.890625,Up,miR-663a,1.3359375,Up
miR-17,1.0602264404296875,Down,miR-625-3p,3.673828125,Up
miR-625-3p,2.783203125,Up,miR-425-3p,4.67578125,Up
miR-93,4.08782958984375,Down,miR-1224-5p,4.787109375,Up
miR-374a-5p,4.08782958984375,Down,miR-296-5p,5.677734375,Up
miR-106b,5.5081329345703125,Down,miR-211,6.234375,Up
miR-20,6.3248291015625,Down,miR-17,6.98236083984375,Down
miR-202,7.571824415297567,Up,miR-205-5p,7.79296875,Up
miR-106a-5p,8.23828125,Down,miR-518f-3p,8.90625,Up
let-7d,8.23828125,Down,miR-483,10.590087890625,Up
