study,miR-21,miR-210,miR-182,miR-155,miR-17
Abdollahi2019,Up,,,,
Asakura2020,,,,,
Bianchi2011,,,,,Down
Boeri2011,Up,Up,,,
Chen2019,,,,,
Duan2021,,,,,
Fehlmann2020,Down,Up,Down,,Down
Halvorsen2016,,Down,,,
Jin2017,Down,,,Down,
Keller2009,,Up,Up,,Down
Keller2014,,,,Down,Down
Keller2020,,,,,
Kryczka2021,,,,,
Leidinger2011,,,,,Down
Leidinger2014,Up,,,,
Leidinger2016,Down,,,,Down
Li2017,,,,,
Marzi2016,,,,,
Nigita2018,,,,,
Patnaik2012,Down,Down,,,Down
Patnaik2017,,,,,
Qu2017,,,,,
Reis2020,,Up,Up,Up,
Wozniak2015,,,Down,Up,
Yao2019,,,,,
Zaporozhchenko2018,,Up,,,
